1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.0,0.0,0.0,0.0,0.0,0.0,963.1129760742188,194.1471405029297,0.0,0.0,961.756591796875,222.7449188232422,1006.3614501953125,218.53387451171875,943.1083984375,262.6054382324219,1032.9088134765625,259.2344970703125,918.1734008789062,279.1297607421875,1039.3353271484375,295.3753967285156,976.1782836914062,299.9400634765625,1007.063232421875,298.27685546875,960.5974731445312,354.4021911621094,1013.1800537109375,350.9608154296875,963.3975219726562,407.1775817871094,1033.40185546875,403.404296875
0.0,0.0,0.0,0.0,0.0,0.0,963.6073608398438,196.62583923339844,0.0,0.0,961.3179931640625,227.01205444335938,1005.1009521484375,221.5386199951172,943.440673828125,266.55181884765625,1026.6082763671875,263.177490234375,922.3265380859375,284.15325927734375,1034.37646484375,297.75408935546875,975.7461547851562,304.3453369140625,1006.1420288085938,302.39703369140625,966.5326538085938,356.19061279296875,1012.71337890625,351.76495361328125,971.709228515625,411.78863525390625,1031.638427734375,405.44818115234375
836.0,38.0,836.0,38.0,836.0,38.0,964.5822143554688,205.1421661376953,836.0,38.0,962.18310546875,233.5329132080078,1004.0930786132812,226.08570861816406,940.671142578125,268.26239013671875,1029.98681640625,264.55511474609375,913.564697265625,288.5384521484375,1035.0941162109375,301.157958984375,979.3621826171875,308.66058349609375,1007.8348999023438,304.8965148925781,967.4573974609375,363.27496337890625,1014.27783203125,355.6953125,969.1168212890625,418.712890625,1031.849609375,410.3853759765625
833.0,57.0,833.0,57.0,833.0,57.0,961.8362426757812,212.66311645507812,833.0,57.0,959.1347045898438,240.12466430664062,1004.4468994140625,231.66197204589844,937.9566040039062,276.06109619140625,1030.0616455078125,270.4979248046875,912.1655883789062,293.84881591796875,1032.7864990234375,307.0474548339844,978.166259765625,313.0374450683594,1008.6992797851562,308.75604248046875,964.7835083007812,369.08050537109375,1009.6324462890625,360.2503967285156,971.9921875,422.1618347167969,1029.3680419921875,411.59320068359375
830.0,65.0,830.0,65.0,830.0,65.0,962.3897094726562,218.50552368164062,830.0,65.0,958.93408203125,246.1103057861328,1003.923583984375,238.9757080078125,938.2828979492188,280.9570007324219,1028.3204345703125,277.47296142578125,910.65185546875,301.71630859375,1031.6905517578125,312.9990234375,976.2119140625,318.4495849609375,1006.5711669921875,314.67425537109375,963.33935546875,375.12335205078125,1007.4541625976562,367.13232421875,969.9645385742188,428.458740234375,1026.052490234375,417.4617919921875
830.0,69.0,830.0,69.0,830.0,69.0,963.0155639648438,219.2971954345703,830.0,69.0,957.4913330078125,249.78199768066406,1002.9788208007812,242.93121337890625,938.347412109375,285.1536865234375,1027.4024658203125,281.016357421875,910.8450317382812,303.6430969238281,1028.760498046875,312.0421142578125,975.058349609375,326.838623046875,1005.7293701171875,323.45953369140625,964.3895874023438,381.36895751953125,1007.2091064453125,373.34710693359375,971.9395751953125,433.8988952636719,1025.037841796875,421.51043701171875
833.0,70.0,833.0,70.0,833.0,70.0,963.8663940429688,220.8402099609375,982.7908325195312,217.37599182128906,960.4647216796875,252.8190155029297,1001.1589965820312,245.20635986328125,938.5451049804688,288.33648681640625,1025.13037109375,284.8331298828125,912.3984375,303.8998718261719,1029.149658203125,318.27630615234375,976.2117919921875,327.8311462402344,1003.875732421875,323.96209716796875,964.70458984375,381.7998352050781,1008.80029296875,373.99114990234375,969.6304931640625,434.0457458496094,1027.153564453125,425.614501953125
830.0,66.0,830.0,66.0,830.0,66.0,959.1510620117188,229.1591339111328,830.0,66.0,957.5184326171875,259.0452880859375,998.0178833007812,249.90797424316406,940.3204956054688,295.12725830078125,1023.8912353515625,288.7779541015625,914.008544921875,309.7894287109375,1027.1282958984375,323.5258483886719,976.205810546875,333.8634948730469,1003.866455078125,329.5238037109375,964.31201171875,385.2256164550781,1007.9113159179688,376.28076171875,967.86474609375,437.5170593261719,1026.644775390625,427.8788146972656
828.0,74.0,828.0,74.0,828.0,74.0,960.3295288085938,231.67491149902344,982.19287109375,227.64862060546875,958.2208251953125,263.2105712890625,1001.5732421875,254.12957763671875,940.4666137695312,300.15191650390625,1023.6806030273438,293.70770263671875,912.14794921875,307.5138854980469,1023.540283203125,325.2193603515625,975.4577026367188,334.4281921386719,1004.9566650390625,329.9763488769531,963.6847534179688,387.9088134765625,1005.7408447265625,378.8988952636719,971.2437133789062,436.9993896484375,1022.7265625,428.0050048828125
835.0,80.0,835.0,80.0,835.0,80.0,959.2332153320312,233.4327392578125,978.6270751953125,231.20140075683594,955.2620849609375,264.1373291015625,999.8677368164062,258.94696044921875,941.2407836914062,304.67303466796875,1025.8470458984375,302.93035888671875,911.2518310546875,312.1427001953125,1027.2596435546875,329.7982177734375,973.3426513671875,339.2713623046875,1003.6932373046875,337.2266540527344,962.8931274414062,390.4623107910156,1010.5386962890625,384.7520446777344,965.9156494140625,442.3713684082031,1019.5519409179688,435.8157043457031
