1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,803.0,0.0,1459.8555908203125,138.6101837158203,1270.6533203125,183.49337768554688,1454.5838623046875,386.11474609375,1127.626708984375,476.1024169921875
791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,791.0,0.0,1443.8892822265625,162.46832275390625,1273.951416015625,197.55702209472656,1408.43017578125,408.74468994140625,1134.7633056640625,468.60504150390625
774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,774.0,0.0,1456.6385498046875,94.30034637451172,1302.671875,143.79148864746094,1450.396240234375,358.7554016113281,1154.23193359375,463.15618896484375
821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,821.0,0.0,1435.869873046875,166.7332000732422,1313.0867919921875,201.48110961914062,1386.58251953125,411.0360412597656,1169.48388671875,480.10736083984375
776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,776.0,0.0,1398.0848388671875,165.53245544433594,1338.407958984375,170.45620727539062,1426.849365234375,236.32872009277344,1289.83154296875,255.86463928222656,1388.557373046875,470.62890625,1173.4730224609375,519.0345458984375
868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,868.0,0.0,1423.837646484375,159.3839569091797,1327.1715087890625,199.01727294921875,1367.5137939453125,409.13201904296875,1185.7935791015625,506.33502197265625
896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,896.0,0.0,1391.254638671875,197.95826721191406,1330.9613037109375,233.1953582763672,1305.9228515625,447.57489013671875,1188.4439697265625,532.8157958984375
855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,855.0,0.0,1399.421142578125,190.93673706054688,1346.107421875,219.315673828125,1309.966552734375,448.1372985839844,1211.49267578125,522.5079345703125
899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,899.0,0.0,1431.51904296875,166.91473388671875,1370.26220703125,209.06869506835938,1364.449462890625,421.66815185546875,1224.537353515625,534.52685546875
897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,897.0,0.0,1418.0045166015625,191.1152801513672,1377.8421630859375,217.7205810546875,1335.9927978515625,457.8408508300781,1226.0306396484375,526.3971557617188
894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,894.0,0.0,1420.983154296875,213.36300659179688,1379.410888671875,239.4880828857422,1338.705810546875,477.7210388183594,1232.7979736328125,550.5498657226562
938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,938.0,0.0,1418.287109375,213.00454711914062,1395.953125,233.61257934570312,1318.6505126953125,470.9399108886719,1248.6337890625,535.5379028320312
923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,923.0,0.0,1470.80908203125,170.3505859375,1404.8975830078125,198.72373962402344,1429.1055908203125,461.31536865234375,1259.4395751953125,543.1467895507812
954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,954.0,0.0,1455.315185546875,222.0381622314453,1415.0423583984375,256.3586730957031,1407.0679931640625,468.3496398925781,1288.25341796875,556.7406616210938
970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,970.0,0.0,1445.541015625,236.19625854492188,1411.4512939453125,260.9356689453125,1346.203369140625,500.0540466308594,1260.94140625,565.524658203125
927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,927.0,0.0,1503.417236328125,245.9342498779297,1418.586181640625,282.8962097167969,1469.2464599609375,491.7050476074219,1274.8726806640625,579.6415405273438
985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,985.0,0.0,1438.3612060546875,277.1133728027344,1440.615234375,286.85638427734375,1292.4393310546875,561.5560302734375,1289.326904296875,597.659912109375
939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,939.0,0.0,1510.6376953125,103.29814147949219,1462.58984375,109.03315734863281,1475.0430908203125,277.94677734375,1422.3670654296875,304.17657470703125,1368.5433349609375,513.7767944335938,1300.6185302734375,581.3150024414062
